"Sample01" "Sample02" "Sample03" "Sample04" "Sample05" "Sample06" "Sample07" "Sample08" "Sample09" "Sample10" "Sample11" "Sample12" "Sample13" "Sample14" "Sample15" "Sample16" "Sample17" "Sample18" "Sample19" "Sample20" "Sample21" "Sample22" "Sample23" "Sample24" "Sample25" "Sample26" "Sample27" "Sample28" "Sample29" "Sample30" "Sample31" "Sample32" "Sample33" "Sample34" "Sample35" "Sample36" "Sample37" "Sample38" "Sample39" "Sample40" "Sample41" "Sample42" "Sample43" "Sample44" "Sample45" "Sample46" "Sample47" "Sample48" "Sample49" "Sample50" "Sample51" "Sample52" "Sample53" "Sample54" "Sample55" "Sample56" "Sample57" "Sample58" "Sample59" "Sample60" "Sample61" "Sample62" "Sample63"
"Microbe22" 6 0 0 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe23" 1 0 2 3 1 6 5 1 2 0 1 3 0 1 0 0 3 0 0 0 0 1 11 0 1 0 5 3 5 1 0 1 0 1 1 0 1 2 0 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
"Microbe24" 0 0 0 0 1 0 2 2 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe25" 3 0 0 1 2 14 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 5 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Microbe26" 1 0 0 5 0 2 1 0 4 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 12 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe27" 0 0 0 0 0 0 0 3 0 0 0 0 0 0 3 0 0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe28" 139 69 123 34 80 45 4 38 32 33 3 27 1 17 58 1 281 0 0 9 25 1 9 2 38 12 4 197 121 30 12 1 17 0 7 1 1 0 3 3 10 3 0 9 201 220 1 1 0 0 0 8 0 68 2 1 3 0 6 1 0 0 1
"Microbe29" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0
"Microbe30" 0 0 1 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 2 0 1 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Microbe31" 1 6 0 0 1 0 0 0 0 6 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
