"Sample01" "Sample02" "Sample03" "Sample04" "Sample05" "Sample06" "Sample07" "Sample08" "Sample09" "Sample10" "Sample11" "Sample12" "Sample13" "Sample14" "Sample15" "Sample16" "Sample17" "Sample18" "Sample19" "Sample20" "Sample21" "Sample22" "Sample23" "Sample24" "Sample25" "Sample26" "Sample27" "Sample28" "Sample29" "Sample30" "Sample31" "Sample32" "Sample33" "Sample34" "Sample35" "Sample36" "Sample37" "Sample38" "Sample39" "Sample40" "Sample41" "Sample42" "Sample43" "Sample44" "Sample45" "Sample46" "Sample47" "Sample48" "Sample49" "Sample50" "Sample51" "Sample52" "Sample53" "Sample54" "Sample55" "Sample56" "Sample57" "Sample58" "Sample59" "Sample60" "Sample61" "Sample62" "Sample63"
"Microbe387" 25 443 76 67 19 11 303 122 41 80 67 34 1 209 10 15 37 28 14 43 31 163 30 175 88 198 120 457 175 14 5 95 9 130 41 54 30 58 20 141 23 10 21 52 40 60 28 4 4 5 23 0 2 1 8 2 2 2 3 0 0 1 0
"Microbe388" 0 0 1 0 0 1 1 17 3 0 0 0 0 2 0 1 0 0 0 1 0 0 4 2 0 4 2 0 0 0 1 1 0 3 2 0 0 8 0 0 0 1 1 0 0 0 0 0 1 0 8 0 0 0 11 0 0 0 0 0 0 0 0
"Microbe389" 329 283 1234 293 283 413 342 37 277 173 1 165 7 107 85 6 944 5 3 97 129 3 64 49 267 71 30 191 569 293 135 126 149 284 4 209 16 14 13 18 81 44 1 24 261 998 1 22 1 0 13 11 3 16 5 0 12 14 3 6 7 0 0
"Microbe390" 1 0 0 3 0 41 66 15 0 0 2 42 0 14 1 0 0 0 0 6 5 1 4 170 1 0 144 0 0 0 0 52 20 788 12 70 56 11 1 3 0 38 0 0 1 0 0 0 0 0 136 4 0 0 3 0 0 0 0 0 0 1 0
"Microbe391" 0 0 13 0 0 21 1 1 0 8 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe392" 2 0 0 0 3 1 1 1 1 0 0 0 0 1 0 0 2 0 0 0 2 5 1 0 0 5 2 0 2 0 0 0 0 5 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Microbe393" 0 0 0 1 0 1 3 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 3 2 2 1 2 1 0 7 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe394" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Microbe395" 1 0 0 0 1 3 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe396" 10 5 35 9 5 3 115 49 9 6 0 12 1 20 5 49 315 0 0 47 3 14 45 11 54 49 12 174 57 19 7 55 0 23 14 3 6 123 1 36 41 1 5 6 153 133 3 1 3 0 2 2 0 183 14 0 2 0 0 1 0 0 0
"Microbe397" 0 0 0 0 0 1 18 3 0 0 1 0 0 5 0 0 0 0 0 3 0 5 1 4 3 55 2 0 0 1 0 5 0 87 0 13 0 112 0 0 0 0 0 0 0 0 0 0 0 1 9 1 0 0 34 0 0 0 0 0 0 0 0
"Microbe398" 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 2 0 1 1 0 1 0 0 1 9 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe399" 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 2 0 0 15 0 0 1 3 0 0 0 0 0 1 0 0 0 0 1 10 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe400" 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 13 0 52 0 0 0 2 0 0 1 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 102 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe401" 7 0 1 0 1 2 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe402" 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 1 0 0 0 7 1 0 1 0 2 0 0 0 7 0 4 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe403" 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 1 0 3 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Microbe404" 6 1 9 3 8 4 3 2 8 0 0 9 0 2 0 1 2 0 1 0 0 1 0 0 1 1 1 3 4 0 1 11 1 0 0 0 0 1 0 2 0 0 0 1 5 4 2 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0
"Microbe405" 0 0 0 1 1 0 0 0 4 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe406" 1 0 0 1 0 0 119 3 0 0 0 0 0 23 0 0 0 0 0 2 12 0 30 15 0 2 0 4 0 0 0 78 0 1 0 6 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
"Microbe407" 19 11 23 22 9 4 214 44 11 25 8 30 0 22 34 24 16 1 2 32 285 2 13 45 5 89 142 20 16 6 43 70 89 25 16 1 50 0 1 217 3 47 6 8 34 20 0 3 4 0 4 0 1 3 0 1 3 1 0 0 0 2 0
"Microbe408" 0 0 0 1 0 0 0 41 1 0 0 0 0 2 0 1 0 0 0 4 0 1 0 0 0 0 3 0 6 0 0 0 0 0 11 0 0 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe409" 0 7 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 42 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe410" 12 36 348 9 9 7 320 51 8 17 1 3 0 0 62 0 0 0 0 30 3 2 3 5 4 17 1 6 15 3 0 186 23 4 5 5 1 7 0 9 0 25 0 0 5 764 0 1 0 0 0 1 0 0 30 0 0 1 0 0 0 0 0
"Microbe411" 1 0 1 1 0 1 44 12 4 0 4 1 0 5 0 13 0 25 2 4 0 30 1 35 0 25 4 0 0 0 0 43 0 22 1 7 3 265 1 35 0 1 9 8 0 0 1 1 1 5 2 0 0 0 226 0 0 0 0 0 0 1 0
"Microbe412" 0 13 19 14 0 1 687 3301 22 4 45 0 0 181 6 326 1 50 51 441 3 61 13 593 18 693 96 2 286 11 8 270 2 433 992 96 28 429 16 1682 8 3 411 127 0 4 6 7 143 5 58 0 0 0 376 25 5 1 3 0 0 3 1
"Microbe413" 0 0 0 0 0 0 0 47 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe414" 15 82 1 472 19 14 88 96 138 19 2 7 3 11 78 40 1 1 0 36 12 1 2 9 75 75 50 1 442 70 9 22 2 5 24 30 13 6 0 16 18 1 0 19 1 0 1 5 0 1 0 4 0 0 17 3 5 0 0 1 0 0 0
"Microbe415" 161 463 1229 7 166 771 31 44 1144 228 3 50 0 85 498 6 2523 4 2 10 127 27 191 65 41 50 1 548 262 28 107 9 67 3 8 8 1 1 10 17 68 45 0 15 688 760 4 7 1 4 0 20 2 104 2 5 3 0 1 4 0 0 2
"Microbe416" 3 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe417" 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe418" 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 20 0 40 0 0 0 0 0 0 1 0 0 0 0 0 0 0 5 0 0 0 0 0 0 2 0 0 0 0 0
"Microbe419" 0 0 0 0 0 0 28 0 0 0 1 0 0 9 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 26 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe420" 0 0 1 1 0 1 3 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 1 2 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe421" 153 5 0 3 113 127 16 2 0 8 0 2 0 1 1 0 13 0 0 0 3 0 8 0 2 0 1 35 0 0 0 14 0 0 0 2 0 0 0 1 0 0 1 0 12 0 0 0 0 0 0 71 0 3 0 0 0 0 0 0 0 0 0
"Microbe422" 0 0 3 1 1 0 0 0 2 0 0 4 0 0 0 0 18 0 0 0 2 0 6 0 1 0 1 4 2 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe423" 3 0 0 1 1 0 3 13 0 0 1 1 0 3 0 0 0 0 0 0 0 14 0 1 1 3 5 0 0 2 0 1 0 0 3 0 3 1 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe424" 36 31 37 64 27 8 81 27 471 17 0 2 0 8 437 1 57 0 0 1 14 15 9 11 9 0 72 47 1232 5 3 33 19 73 9 6 28 46 0 5 9 2 1 0 9 22 6 0 0 0 10 1 0 4 25 0 29 0 0 1 0 0 0
"Microbe425" 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Microbe426" 0 2 13 17 0 0 65 22 2 0 0 0 1 14 77 135 0 7 0 0 0 3 3 53 23 29 5 0 44 6 11 43 1 1 3 7 3 23 1 64 2 0 0 45 0 2 0 11 1 0 0 0 0 0 6 0 0 0 0 0 0 2 0
"Microbe427" 33 86 2075 178 45 106 31 551 4486 22 2 12 6 59 1018 43 6 38 8 261 41 27 77 125 109 134 86 27 1205 54 872 9 142 123 86 27 23 309 12 176 286 46 60 399 22 1191 3 194 13 2 18 3 3 1 214 7 5 1 1 33 0 0 0
"Microbe428" 26 1 0 0 21 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Microbe429" 10 1 2 3 7 4 1 0 103 4 0 1 0 0 540 0 13 0 0 0 0 0 1 0 2 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe430" 0 0 0 0 0 1 1 7 1 0 1 1 0 29 0 1 0 2 0 0 1 9 3 0 0 0 8 0 0 0 0 1 0 16 0 2 4 46 3 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 15 0 0 0 0 0 0 0 0
"Microbe431" 0 7 2 2 1 4 2 1 2 4 0 0 0 0 0 0 26 0 0 0 0 0 0 2 1 0 0 15 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 8 0 0 0 0 4 0 0 0 0
"Microbe432" 0 0 0 0 0 1 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe433" 3 3 2 51 2 18 794 1728 8 0 141 58 0 468 16 785 0 34 24 444 52 13 117 942 145 1411 212 5 17 70 45 424 178 2078 432 327 58 692 40 662 38 161 50 393 0 6 4 2 48 5 113 19 0 0 235 0 1 5 6 1 0 8 2
"Microbe434" 1 0 1 0 2 3 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe435" 3 0 0 413 1 9 120 155 19 0 86 19 6 26 53 21 0 12 10 275 0 18 8 85 298 276 5 1 18 250 363 63 138 117 43 9 1 4 2 29 16 61 0 372 0 3 2 59 0 1 4 1 0 0 10 0 0 0 0 1 0 2 0
"Microbe436" 2 0 0 0 0 1 0 0 0 0 0 5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe437" 1 3 27 8 4 7 1 0 2 0 0 22 1 5 0 2 21 0 0 0 1 1 12 0 1 0 0 92 1 3 2 0 0 0 0 2 0 0 0 0 0 0 0 0 54 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe438" 0 0 1 0 1 1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Microbe439" 0 4 0 61 0 0 13 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 7 2 10 0 0 0 0 0 1 0 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Microbe440" 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe441" 0 0 0 0 0 9 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe442" 0 44 0 0 0 0 3 3 0 46 0 0 0 0 0 3 0 0 0 0 0 0 0 2 7 6 1 0 3 0 0 2 0 0 3 0 0 3 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
"Microbe443" 0 0 0 0 0 0 0 14 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe444" 2 0 2 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe445" 5 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Microbe446" 43 13 32 12 38 18 102 10 73 8 0 24 0 6 105 0 110 0 0 10 4 41 47 4 16 75 1 376 3 4 1 44 77 0 0 3 0 7 1 0 0 49 0 1 59 36 7 0 0 0 0 6 0 9 17 0 0 0 5 0 0 0 0
"Microbe447" 1 0 110 0 1 0 779 586 0 0 0 133 0 96 0 114 2 18 0 0 84 3 53 348 12 15 4 6 2 2 7 329 4 158 132 0 3 307 13 75 8 2 7 368 7 464 0 2 5 0 188 0 1 0 14 0 0 0 0 0 0 0 2
"Microbe448" 6 0 295 465 9 4 254 2 3 3 2 0 5 3 77 0 0 4 0 26 0 0 10 25 360 90 12 3 2 323 50 148 9 2 0 11 4 54 1 89 0 2 13 114 1 138 0 13 0 0 0 1 0 0 93 0 0 0 1 0 1 0 0
"Microbe449" 0 5 0 0 0 0 12 4 1 0 1 0 0 1 0 5 0 0 0 1 0 0 0 2 0 1 0 0 1 0 0 1 0 1 6 0 0 2 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe450" 0 2 18 1 0 0 18 24 1 0 0 0 0 23 0 2 0 0 0 0 8 14 8 51 1 0 0 0 17 0 0 3 0 0 7 0 0 23 0 11 0 0 0 0 0 22 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Microbe451" 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 1 0 0 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Microbe452" 0 0 0 0 0 23 13 3 0 0 0 2 0 16 0 4 0 1 0 0 2 0 5 32 0 0 8 0 0 1 0 8 0 82 2 184 2 117 3 15 0 0 3 1 0 0 0 0 4 0 16 3 0 0 3 0 0 7 1 0 0 0 0
"Microbe453" 0 0 2 2 0 1 4 0 0 0 0 3 0 0 0 0 5 0 0 0 0 1 4 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 6 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe454" 0 0 3 2 1 15 5 4 0 0 1 3 0 2 1 1 2 0 1 0 1 0 10 1 10 3 7 1 2 2 4 27 7 7 1 0 4 6 0 2 0 1 1 2 1 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0
"Microbe455" 0 0 0 10 0 1 3 0 5 0 0 1 0 4 4 0 0 0 0 1 0 0 1 0 6 7 1 0 0 1 0 0 0 2 0 0 0 3 0 2 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe456" 1 1 3 5 4 17 61 8269 0 0 14 7 0 186 0 745 0 48 15 48 4 43 25 316 10 1106 2643 5 248 0 0 26 57 125 3366 90 801 1260 14 656 0 112 510 10 3 5 0 0 1093 604 186 2 0 0 1 0 10 3 9 0 0 1 0
"Microbe457" 0 0 1 0 0 11 12 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 6 0 0 0 2 0 0 1 1 4 2 2 0 0 0 3 0 1 0 2 2 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Microbe458" 0 0 5 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 5 0 1 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe459" 1 0 6 1 1 7 7 1 0 0 0 2 0 0 1 0 11 5 0 1 0 0 11 1 2 2 1 0 2 0 1 2 0 3 0 0 1 0 0 1 0 0 0 0 1 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe460" 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Microbe461" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 9 0 0 0 0 0 0 1 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe462" 5 9 6 2 4 0 6 8 4 11 7 3 0 0 0 0 8 0 0 0 3 0 0 0 2 4 0 0 2 5 0 1 2 1 3 0 0 0 0 2 0 0 0 0 1 10 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
"Microbe463" 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 9 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Microbe464" 0 0 0 0 0 0 0 15 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe465" 0 0 0 0 0 1 4 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 4 0 0 0 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe466" 19 194 44 14 7 20 359 38 14 63 14 81 0 29 8 4 61 0 7 43 14 0 31 123 55 41 5 31 46 16 38 295 43 48 6 1 1 15 2 83 7 22 4 215 9 120 0 0 0 2 2 3 0 0 1 1 0 0 0 0 0 0 1
"Microbe467" 0 0 0 0 0 0 0 14 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe468" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 2 1 0 1 0 0 1 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe469" 4 19 731 7 12 201 11 2 99 21 1 18 0 16 10 24 79 3 0 5 107 2 308 19 4 3 1 7 2 2 7 0 20 1 0 15 5 37 1 183 0 10 49 4 18 700 0 0 21 43 1 0 2 0 5 0 0 1 0 0 0 0 1
"Microbe470" 8 5 7 4 2 0 1 3 9 6 0 1 0 2 1 0 1 0 0 1 1 2 0 1 2 0 0 1 4 2 0 0 2 0 0 0 0 0 0 1 1 2 0 0 4 5 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0
"Microbe471" 4 38 59 1 1 3 1 0 3 31 0 0 0 10 5 1 476 0 0 17 12 0 6 1 0 0 15 31 20 0 38 0 3 0 0 1 14 0 1 0 0 1 0 0 47 46 0 6 0 0 0 0 0 6 0 1 1 0 0 0 0 0 0
"Microbe472" 76 75 32 361 31 102 183 67 34 56 17 9 2 97 117 17 5 2 1 62 58 17 6 59 159 260 26 23 256 130 128 69 43 58 26 11 8 29 5 91 25 22 0 58 5 39 3 25 0 0 1 15 1 0 83 1 6 0 0 2 0 0 0
"Microbe473" 14 46 3 327 11 71 702 1096 68 22 41 23 7 27 87 102 4 15 17 365 6 34 3 139 129 588 125 2 1271 58 425 314 44 170 283 42 34 138 1 331 49 35 5 149 0 5 12 74 2 3 1 6 0 1 249 5 27 2 1 5 0 1 0
"Microbe474" 384 607 3150 3655 262 2053 6167 2715 1984 445 369 970 53 1916 3438 608 91 151 142 1636 687 738 452 2772 2531 1858 936 135 13158 1995 4628 2325 746 2393 689 793 359 6514 214 1953 864 481 232 1982 165 2761 154 717 101 52 216 292 8 37 1193 85 517 35 19 71 3 12 10
"Microbe475" 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 2 33 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 40 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 20 0 0 0 0 0 0 0 0
"Microbe476" 15 236 3 11 11 0 103 14 2 124 4 0 0 60 19 0 9 0 0 73 0 1 3 2 30 24 2 189 33 3 0 102 1 1 4 2 0 0 8 0 0 0 0 0 85 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe477" 0 0 0 0 0 2 3 0 0 0 0 8 0 0 0 0 1 0 0 0 0 1 4 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Microbe478" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Microbe479" 2 0 0 3 0 0 33 48 0 0 1 0 0 3 3 1 0 4 0 1 0 19 0 4 6 5 6 1 5 2 0 5 0 72 20 14 3 0 0 7 5 1 1 4 0 0 1 0 1 4 4 0 0 0 0 0 0 1 0 0 0 0 0
"Microbe480" 0 0 3 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 2 0 3 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe481" 1 0 0 0 0 0 0 16 0 0 0 0 0 0 4 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe482" 1 0 1 1 1 3 4 6 0 1 24 11 0 3 0 1 0 0 2 20 0 0 0 3 0 21 0 2 0 0 2 3 1 48 0 18 0 4 0 7 1 6 1 0 0 0 0 1 0 0 0 4 0 0 3 0 0 0 0 0 0 0 0
"Microbe483" 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 0 5 0 2 0 0 0 0 0 0 0 0 0 2 0 2 1 17 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Microbe484" 7 103 1 9 3 1 43 7 3 102 29 8 0 198 0 2 4 0 0 21 3 0 1 36 3 5 1 4 158 0 0 24 3 13 7 7 0 0 11 113 8 5 1 0 2 5 0 0 0 0 0 1 0 0 0 0 4 0 1 0 0 0 0
"Microbe485" 3 0 2 2 0 5 1 0 0 2 0 0 0 0 2 0 1 0 0 2 0 0 1 0 1 0 0 2 3 2 0 3 6 1 1 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbe486" 199 267 748 439 116 352 922 398 105 144 69 227 11 744 186 248 543 28 20 333 652 73 481 416 621 538 485 271 1416 366 329 414 140 385 124 157 138 593 40 707 151 104 23 589 253 790 15 39 25 7 29 43 9 91 378 2 61 4 4 18 0 2 4
"Microbe487" 0 0 0 0 0 0 3 0 0 0 0 6 0 0 0 0 0 0 0 0 1 0 3 1 0 1 2 0 0 0 0 2 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
